site_code,collection_date,family,lowest_taxon,d100_com,d100_fam,d100_spe
PD,2018-08-01,Fundulidae,F. notatus,53,9,5
PD,2018-08-01,Poeciliidae,G. affinis,53,13,10
PD,2018-08-01,Cichlidae,H. cyanoguttatum,53,3,3
PD,2018-08-01,Centrarchidae,L. auritus,53,23,8
PD,2018-08-01,Centrarchidae,L. gulosus,53,23,2
PD,2018-08-01,Centrarchidae,L. macrochirus,53,23,7
PD,2018-08-01,Centrarchidae,L. megalotis,53,23,1
PD,2018-08-01,Lepisosteidae,L. oculatus,53,1,1
PD,2018-08-01,Centrarchidae,M. salmoides,53,23,5
PD,2018-08-01,Poeciliidae,P. latipinna,53,13,3
PD,2018-08-31,Ictaluridae,A. natalis,84,1,1
PD,2018-08-31,Fundulidae,F. chrysotus,84,11,4
PD,2018-08-31,Fundulidae,F. notatus,84,11,7
PD,2018-08-31,Poeciliidae,G. affinis,84,13,11
PD,2018-08-31,Cichlidae,H. cyanoguttatum,84,12,12
PD,2018-08-31,Centrarchidae,L. auritus,84,47,24
PD,2018-08-31,Centrarchidae,L. cyanellus,84,47,4
PD,2018-08-31,Centrarchidae,L. gulosus,84,47,2
PD,2018-08-31,Centrarchidae,L. macrochirus,84,47,12
PD,2018-08-31,Centrarchidae,L. megalotis,84,47,1
PD,2018-08-31,Centrarchidae,M. salmoides,84,47,4
PD,2018-08-31,Poeciliidae,P. latipinna,84,13,2
PD,2020-01-16,Cyprinidae,C. carpio,33,1,1
PD,2020-01-16,Fundulidae,F. notatus,33,2,2
PD,2020-01-16,Poeciliidae,G. affinis,33,2,1
PD,2020-01-16,Cichlidae,H. cyanoguttatum,33,1,1
PD,2020-01-16,Centrarchidae,L. auritus,33,26,7
PD,2020-01-16,Centrarchidae,L. cyanellus,33,26,7
PD,2020-01-16,Centrarchidae,L. macrochirus,33,26,7
PD,2020-01-16,Centrarchidae,L. megalotis,33,26,3
PD,2020-01-16,Centrarchidae,L. microlophus,33,26,2
PD,2020-01-16,Lepisosteidae,L. oculatus,33,1,1
PD,2020-01-16,Poeciliidae,P. latipinna,33,2,1
PD,2020-05-21,Cyprinidae,C. carpio,37,1,1
PD,2020-05-21,Fundulidae,F. chrysotus,37,3,1
PD,2020-05-21,Fundulidae,F. grandis,37,3,1
PD,2020-05-21,Fundulidae,F. notatus,37,3,1
PD,2020-05-21,Poeciliidae,G. affinis,37,6,5
PD,2020-05-21,Cichlidae,H. cyanoguttatum,37,2,2
PD,2020-05-21,Centrarchidae,L. auritus,37,25,1
PD,2020-05-21,Centrarchidae,L. cyanellus,37,25,10
PD,2020-05-21,Centrarchidae,L. gulosus,37,25,2
PD,2020-05-21,Centrarchidae,L. macrochirus,37,25,9
PD,2020-05-21,Centrarchidae,M. salmoides,37,25,3
PD,2020-05-21,Poeciliidae,P. latipinna,37,6,1
PD,2020-09-09,Fundulidae,F. chrysotus,113,4,2
PD,2020-09-09,Fundulidae,F. notatus,113,4,2
PD,2020-09-09,Poeciliidae,G. affinis,113,10,6
PD,2020-09-09,Cichlidae,H. cyanoguttatum,113,22,22
PD,2020-09-09,Centrarchidae,L. auritus,113,77,26
PD,2020-09-09,Centrarchidae,L. cyanellus,113,77,16
PD,2020-09-09,Centrarchidae,L. gulosus,113,77,3
PD,2020-09-09,Centrarchidae,L. macrochirus,113,77,22
PD,2020-09-09,Centrarchidae,L. megalotis,113,77,3
PD,2020-09-09,Centrarchidae,L. microlophus,113,77,1
PD,2020-09-09,Centrarchidae,M. salmoides,113,77,6
PD,2020-09-09,Poeciliidae,P. latipinna,113,10,4
PL,2017-10-10,Ictaluridae,A. natalis,43,4,4
PL,2017-10-10,Leuciscidae,C. lutrensis,43,10,10
PL,2017-10-10,Poeciliidae,G. affinis,43,17,17
PL,2017-10-10,Centrarchidae,L. gulosus,43,11,1
PL,2017-10-10,Centrarchidae,L. macrochirus,43,11,1
PL,2017-10-10,Centrarchidae,L. megalotis,43,11,8
PL,2017-10-10,Lepisosteidae,L. oculatus,43,1,1
PL,2017-10-10,Centrarchidae,M. salmoides,43,11,1
PL,2017-11-11,Ictaluridae,A. natalis,277,11,9
PL,2017-11-11,Leuciscidae,C. lutrensis,277,45,45
PL,2017-11-11,Poeciliidae,G. affinis,277,120,118
PL,2017-11-11,Ictaluridae,I. punctatus,277,11,2
PL,2017-11-11,Centrarchidae,L. cyanellus,277,101,10
PL,2017-11-11,Centrarchidae,L. gulosus,277,101,7
PL,2017-11-11,Centrarchidae,L. macrochirus,277,101,5
PL,2017-11-11,Centrarchidae,L. megalotis,277,101,79
PL,2017-11-11,Poeciliidae,P. latipinna,277,120,2
PL,2017-12-03,Ictaluridae,A. natalis,97,4,3
PL,2017-12-03,Leuciscidae,C. lutrensis,97,28,28
PL,2017-12-03,Poeciliidae,G. affinis,97,35,35
PL,2017-12-03,Ictaluridae,I. punctatus,97,4,1
PL,2017-12-03,Centrarchidae,L. cyanellus,97,30,2
PL,2017-12-03,Centrarchidae,L. gulosus,97,30,2
PL,2017-12-03,Centrarchidae,L. macrochirus,97,30,2
PL,2017-12-03,Centrarchidae,L. megalotis,97,30,24
PL,2018-02-11,Ictaluridae,A. natalis,308,2,2
PL,2018-02-11,Leuciscidae,C. lutrensis,308,57,57
PL,2018-02-11,Poeciliidae,G. affinis,308,121,121
PL,2018-02-11,Centrarchidae,L. cyanellus,308,128,3
PL,2018-02-11,Centrarchidae,L. gulosus,308,128,4
PL,2018-02-11,Centrarchidae,L. macrochirus,308,128,3
PL,2018-02-11,Centrarchidae,L. megalotis,308,128,118
PL,2018-03-02,Leuciscidae,C. lutrensis,34,24,24
PL,2018-03-02,Poeciliidae,G. affinis,34,3,1
PL,2018-03-02,Ictaluridae,I. punctatus,34,1,1
PL,2018-03-02,Centrarchidae,L. cyanellus,34,6,1
PL,2018-03-02,Centrarchidae,L. gulosus,34,6,1
PL,2018-03-02,Centrarchidae,L. megalotis,34,6,4
PL,2018-03-02,Poeciliidae,P. latipinna,34,3,2
PL,2018-04-01,Ictaluridae,A. natalis,426,3,3
PL,2018-04-01,Leuciscidae,C. lutrensis,426,213,213
PL,2018-04-01,Fundulidae,F. chrysotus,426,2,2
PL,2018-04-01,Poeciliidae,G. affinis,426,90,85
PL,2018-04-01,Centrarchidae,L. auritus,426,118,21
PL,2018-04-01,Centrarchidae,L. cyanellus,426,118,3
PL,2018-04-01,Centrarchidae,L. gulosus,426,118,6
PL,2018-04-01,Centrarchidae,L. macrochirus,426,118,15
PL,2018-04-01,Centrarchidae,L. megalotis,426,118,73
PL,2018-04-01,Poeciliidae,P. latipinna,426,90,5
PL,2018-05-10,Ictaluridae,A. natalis,59,1,1
PL,2018-05-10,Leuciscidae,C. lutrensis,59,13,13
PL,2018-05-10,Poeciliidae,G. affinis,59,31,30
PL,2018-05-10,Centrarchidae,L. auritus,59,14,1
PL,2018-05-10,Centrarchidae,L. cyanellus,59,14,1
PL,2018-05-10,Centrarchidae,L. gulosus,59,14,1
PL,2018-05-10,Centrarchidae,L. macrochirus,59,14,1
PL,2018-05-10,Centrarchidae,L. megalotis,59,14,10
PL,2018-05-10,Poeciliidae,P. latipinna,59,31,1
PL,2018-06-07,Ictaluridae,A. natalis,183,3,3
PL,2018-06-07,Leuciscidae,C. lutrensis,183,23,23
PL,2018-06-07,Poeciliidae,G. affinis,183,70,68
PL,2018-06-07,Centrarchidae,L. cyanellus,183,87,7
PL,2018-06-07,Centrarchidae,L. gulosus,183,87,2
PL,2018-06-07,Centrarchidae,L. macrochirus,183,87,6
PL,2018-06-07,Centrarchidae,L. megalotis,183,87,69
PL,2018-06-07,Centrarchidae,M. salmoides,183,87,3
PL,2018-06-07,Poeciliidae,P. latipinna,183,70,2
PL,2018-07-27,Ictaluridae,A. natalis,27,5,1
PL,2018-07-27,Leuciscidae,C. lutrensis,27,3,3
PL,2018-07-27,Poeciliidae,G. affinis,27,15,13
PL,2018-07-27,Ictaluridae,I. punctatus,27,5,1
PL,2018-07-27,Centrarchidae,L. macrochirus,27,4,1
PL,2018-07-27,Centrarchidae,L. megalotis,27,4,3
PL,2018-07-27,Ictaluridae,N. gyrinus,27,5,3
PL,2018-07-27,Poeciliidae,P. latipinna,27,15,2
PL,2018-09-25,Leuciscidae,C. lutrensis,16,3,3
PL,2018-09-25,Poeciliidae,G. affinis,16,5,5
PL,2018-09-25,Ictaluridae,I. punctatus,16,1,1
PL,2018-09-25,Centrarchidae,L. cyanellus,16,7,1
PL,2018-09-25,Centrarchidae,L. macrochirus,16,7,2
PL,2018-09-25,Centrarchidae,L. megalotis,16,7,4
PL,2020-01-15,Leuciscidae,C. lutrensis,133,25,25
PL,2020-01-15,Eleotridae,D. maculatus,133,1,1
PL,2020-01-15,Poeciliidae,G. affinis,133,78,33
PL,2020-01-15,Ictaluridae,I. punctatus,133,1,1
PL,2020-01-15,Centrarchidae,L. cyanellus,133,28,4
PL,2020-01-15,Centrarchidae,L. gulosus,133,28,1
PL,2020-01-15,Centrarchidae,L. macrochirus,133,28,1
PL,2020-01-15,Centrarchidae,L. megalotis,133,28,22
PL,2020-01-15,Poeciliidae,P. latipinna,133,78,45
PL,2020-05-24,Ictaluridae,A. natalis,158,9,8
PL,2020-05-24,Leuciscidae,C. lutrensis,158,22,22
PL,2020-05-24,Poeciliidae,G. affinis,158,31,25
PL,2020-05-24,Ictaluridae,I. punctatus,158,9,1
PL,2020-05-24,Centrarchidae,L. auritus,158,94,4
PL,2020-05-24,Centrarchidae,L. cyanellus,158,94,25
PL,2020-05-24,Centrarchidae,L. gulosus,158,94,1
PL,2020-05-24,Centrarchidae,L. macrochirus,158,94,10
PL,2020-05-24,Centrarchidae,L. megalotis,158,94,50
PL,2020-05-24,Lepisosteidae,L. oculatus,158,2,2
PL,2020-05-24,Centrarchidae,M. salmoides,158,94,4
PL,2020-05-24,Poeciliidae,P. latipinna,158,31,6
PL,2020-09-15,Ictaluridae,A. natalis,111,5,4
PL,2020-09-15,Leuciscidae,C. lutrensis,111,7,7
PL,2020-09-15,Eleotridae,D. maculatus,111,2,2
PL,2020-09-15,Poeciliidae,G. affinis,111,25,7
PL,2020-09-15,Ictaluridae,I. punctatus,111,5,1
PL,2020-09-15,Centrarchidae,L. cyanellus,111,71,5
PL,2020-09-15,Centrarchidae,L. gulosus,111,71,1
PL,2020-09-15,Centrarchidae,L. macrochirus,111,71,2
PL,2020-09-15,Centrarchidae,L. megalotis,111,71,61
PL,2020-09-15,Lepisosteidae,L. oculatus,111,1,1
PL,2020-09-15,Centrarchidae,M. salmoides,111,71,2
PL,2020-09-15,Poeciliidae,P. latipinna,111,25,18
PL,2020-11-02,Ictaluridae,A. natalis,286,3,2
PL,2020-11-02,Leuciscidae,C. lutrensis,286,35,35
PL,2020-11-02,Eleotridae,D. maculatus,286,1,1
PL,2020-11-02,Poeciliidae,G. affinis,286,174,35
PL,2020-11-02,Ictaluridae,I. punctatus,286,3,1
PL,2020-11-02,Centrarchidae,L. cyanellus,286,71,1
PL,2020-11-02,Centrarchidae,L. gulosus,286,71,1
PL,2020-11-02,Centrarchidae,L. macrochirus,286,71,7
PL,2020-11-02,Centrarchidae,L. megalotis,286,71,60
PL,2020-11-02,Mugilidae,M. cephalus,286,2,2
PL,2020-11-02,Centrarchidae,M. salmoides,286,71,2
PL,2020-11-02,Poeciliidae,P. latipinna,286,174,139
SF,2017-09-19,Characidae,A. mexicanus,29,1,1
SF,2017-09-19,Poeciliidae,G. affinis,29,11,2
SF,2017-09-19,Cichlidae,H. cyanoguttatum,29,14,14
SF,2017-09-19,Centrarchidae,L. macrochirus,29,2,1
SF,2017-09-19,Centrarchidae,L. megalotis,29,2,1
SF,2017-09-19,Lepisosteidae,L. oculatus,29,1,1
SF,2017-09-19,Poeciliidae,P. latipinna,29,11,9
SF,2017-11-05,Characidae,A. mexicanus,661,3,3
SF,2017-11-05,Leuciscidae,C. lutrensis,661,38,14
SF,2017-11-05,Cyprinodontidae,C. variegatus,661,1,1
SF,2017-11-05,Poeciliidae,G. affinis,661,388,76
SF,2017-11-05,Cichlidae,H. cyanoguttatum,661,228,228
SF,2017-11-05,Centrarchidae,L. macrochirus,661,3,3
SF,2017-11-05,Poeciliidae,P. latipinna,661,388,312
SF,2017-11-05,Leuciscidae,P. vigilax,661,38,24
SF,2017-12-11,Leuciscidae,C. lutrensis,62,4,2
SF,2017-12-11,Poeciliidae,G. affinis,62,50,4
SF,2017-12-11,Cichlidae,H. cyanoguttatum,62,7,7
SF,2017-12-11,Lepisosteidae,L. oculatus,62,1,1
SF,2017-12-11,Poeciliidae,P. latipinna,62,50,46
SF,2017-12-11,Leuciscidae,P. vigilax,62,4,2
SF,2018-02-02,Cyprinodontidae,C. variegatus,297,4,4
SF,2018-02-02,Poeciliidae,G. affinis,297,250,17
SF,2018-02-02,Cichlidae,H. cyanoguttatum,297,36,36
SF,2018-02-02,Poeciliidae,P. latipinna,297,250,233
SF,2018-02-02,Leuciscidae,P. vigilax,297,7,7
SF,2018-04-07,Leuciscidae,C. lutrensis,154,35,9
SF,2018-04-07,Poeciliidae,G. affinis,154,106,41
SF,2018-04-07,Cichlidae,H. cyanoguttatum,154,13,13
SF,2018-04-07,Poeciliidae,P. latipinna,154,106,65
SF,2018-04-07,Leuciscidae,P. vigilax,154,35,26
SF,2018-05-12,Leuciscidae,C. lutrensis,107,13,9
SF,2018-05-12,Poeciliidae,G. affinis,107,85,34
SF,2018-05-12,Cichlidae,H. cyanoguttatum,107,9,7
SF,2018-05-12,Cichlidae,O. aureus,107,9,2
SF,2018-05-12,Poeciliidae,P. latipinna,107,85,51
SF,2018-05-12,Leuciscidae,P. vigilax,107,13,4
SF,2018-06-01,Leuciscidae,C. lutrensis,180,4,1
SF,2018-06-01,Poeciliidae,G. affinis,180,151,27
SF,2018-06-01,Cichlidae,H. cyanoguttatum,180,25,25
SF,2018-06-01,Poeciliidae,P. latipinna,180,151,124
SF,2018-06-01,Leuciscidae,P. vigilax,180,4,3
SF,2018-07-01,Cyprinidae,C. carpio,82,2,2
SF,2018-07-01,Leuciscidae,C. lutrensis,82,12,8
SF,2018-07-01,Cyprinodontidae,C. variegatus,82,4,4
SF,2018-07-01,Poeciliidae,G. affinis,82,51,11
SF,2018-07-01,Cichlidae,H. cyanoguttatum,82,11,11
SF,2018-07-01,Centrarchidae,L. gulosus,82,2,2
SF,2018-07-01,Poeciliidae,P. latipinna,82,51,40
SF,2018-07-01,Leuciscidae,P. vigilax,82,12,4
SF,2018-09-18,Characidae,A. mexicanus,79,3,3
SF,2018-09-18,Leuciscidae,C. lutrensis,79,3,3
SF,2018-09-18,Poeciliidae,G. affinis,79,56,53
SF,2018-09-18,Centrarchidae,L. gulosus,79,17,3
SF,2018-09-18,Centrarchidae,L. macrochirus,79,17,14
SF,2018-09-18,Poeciliidae,P. latipinna,79,56,3
SF,2020-01-13,Ictaluridae,A. melas,459,1,1
SF,2020-01-13,Characidae,A. mexicanus,459,10,10
SF,2020-01-13,Poeciliidae,G. affinis,459,408,5
SF,2020-01-13,Cichlidae,H. cyanoguttatum,459,34,34
SF,2020-01-13,Centrarchidae,L. cyanellus,459,6,6
SF,2020-01-13,Poeciliidae,P. latipinna,459,408,403
SF,2020-05-27,Characidae,A. mexicanus,192,13,13
SF,2020-05-27,Poeciliidae,G. affinis,192,68,16
SF,2020-05-27,Cichlidae,H. cyanoguttatum,192,61,55
SF,2020-05-27,Centrarchidae,L. cyanellus,192,43,7
SF,2020-05-27,Centrarchidae,L. gulosus,192,43,2
SF,2020-05-27,Centrarchidae,L. macrochirus,192,43,33
SF,2020-05-27,Lepisosteidae,L. oculatus,192,7,7
SF,2020-05-27,Centrarchidae,M. salmoides,192,43,1
SF,2020-05-27,Cichlidae,O. aureus,192,61,6
SF,2020-05-27,Poeciliidae,P. latipinna,192,68,52
SF,2020-09-11,Characidae,A. mexicanus,98,8,8
SF,2020-09-11,Poeciliidae,G. affinis,98,66,17
SF,2020-09-11,Cichlidae,H. cyanoguttatum,98,23,22
SF,2020-09-11,Centrarchidae,L. cyanellus,98,1,1
SF,2020-09-11,Cichlidae,O. aureus,98,23,1
SF,2020-09-11,Poeciliidae,P. latipinna,98,66,49
SF,2020-11-04,Characidae,A. mexicanus,228,10,10
SF,2020-11-04,Poeciliidae,G. affinis,228,159,21
SF,2020-11-04,Cichlidae,H. cyanoguttatum,228,58,55
SF,2020-11-04,Centrarchidae,L. macrochirus,228,1,1
SF,2020-11-04,Cichlidae,O. aureus,228,58,3
SF,2020-11-04,Poeciliidae,P. latipinna,228,159,138
TR,2017-09-25,Characidae,A. mexicanus,221,2,2
TR,2017-09-25,Cyprinodontidae,C. variegatus,221,7,7
TR,2017-09-25,Fundulidae,F. grandis,221,4,4
TR,2017-09-25,Poeciliidae,P. latipinna,221,208,208
TR,2017-11-05,Cyprinodontidae,C. variegatus,103,37,37
TR,2017-11-05,Eleotridae,D. maculatus,103,1,1
TR,2017-11-05,Fundulidae,F. grandis,103,6,6
TR,2017-11-05,Poeciliidae,G. affinis,103,52,6
TR,2017-11-05,Cichlidae,H. cyanoguttatum,103,5,1
TR,2017-11-05,Centrarchidae,L. megalotis,103,1,1
TR,2017-11-05,Ictaluridae,N. gyrinus,103,1,1
TR,2017-11-05,Cichlidae,O. aureus,103,5,4
TR,2017-11-05,Poeciliidae,P. latipinna,103,52,46
TR,2017-12-11,Cyprinodontidae,C. variegatus,166,121,121
TR,2017-12-11,Poeciliidae,G. affinis,166,45,28
TR,2017-12-11,Poeciliidae,P. latipinna,166,45,17
TR,2018-02-02,Characidae,A. mexicanus,901,7,7
TR,2018-02-02,Cyprinodontidae,C. variegatus,901,752,752
TR,2018-02-02,Fundulidae,F. grandis,901,3,3
TR,2018-02-02,Poeciliidae,G. affinis,901,138,14
TR,2018-02-02,Cichlidae,H. cyanoguttatum,901,1,1
TR,2018-02-02,Poeciliidae,P. latipinna,901,138,124
TR,2018-04-07,Characidae,A. mexicanus,331,2,2
TR,2018-04-07,Cyprinodontidae,C. variegatus,331,215,215
TR,2018-04-07,Fundulidae,F. grandis,331,4,4
TR,2018-04-07,Poeciliidae,G. affinis,331,110,16
TR,2018-04-07,Poeciliidae,P. latipinna,331,110,94
TR,2018-06-01,Characidae,A. mexicanus,229,20,20
TR,2018-06-01,Cyprinodontidae,C. variegatus,229,107,107
TR,2018-06-01,Fundulidae,F. grandis,229,7,7
TR,2018-06-01,Poeciliidae,P. latipinna,229,95,95
TR,2018-07-01,Cyprinodontidae,C. variegatus,109,11,11
TR,2018-07-01,Fundulidae,F. grandis,109,1,1
TR,2018-07-01,Cichlidae,H. cyanoguttatum,109,2,1
TR,2018-07-01,Centrarchidae,L. cyanellus,109,4,1
TR,2018-07-01,Centrarchidae,L. macrochirus,109,4,1
TR,2018-07-01,Centrarchidae,M. salmoides,109,4,2
TR,2018-07-01,Cichlidae,O. aureus,109,2,1
TR,2018-07-01,Poeciliidae,P. latipinna,109,91,91
TR,2018-08-31,Cyprinodontidae,C. variegatus,10,1,1
TR,2018-08-31,Poeciliidae,G. affinis,10,9,1
TR,2018-08-31,Poeciliidae,P. latipinna,10,9,8
TR,2020-01-13,Characidae,A. mexicanus,150,1,1
TR,2020-01-13,Cyprinodontidae,C. variegatus,150,91,91
TR,2020-01-13,Fundulidae,F. grandis,150,3,3
TR,2020-01-13,Poeciliidae,G. affinis,150,50,13
TR,2020-01-13,Cichlidae,H. cyanoguttatum,150,2,1
TR,2020-01-13,Centrarchidae,L. macrochirus,150,3,3
TR,2020-01-13,Cichlidae,O. aureus,150,2,1
TR,2020-01-13,Poeciliidae,P. latipinna,150,50,37
TR,2020-05-27,Characidae,A. mexicanus,36,2,2
TR,2020-05-27,Cyprinodontidae,C. variegatus,36,2,2
TR,2020-05-27,Poeciliidae,G. affinis,36,17,2
TR,2020-05-27,Cichlidae,H. cyanoguttatum,36,5,3
TR,2020-05-27,Centrarchidae,L. cyanellus,36,10,2
TR,2020-05-27,Centrarchidae,L. macrochirus,36,10,8
TR,2020-05-27,Cichlidae,O. aureus,36,5,2
TR,2020-05-27,Poeciliidae,P. latipinna,36,17,15
TR,2020-09-11,Characidae,A. mexicanus,82,2,2
TR,2020-09-11,Cyprinodontidae,C. variegatus,82,16,16
TR,2020-09-11,Poeciliidae,G. affinis,82,45,7
TR,2020-09-11,Cichlidae,H. cyanoguttatum,82,9,8
TR,2020-09-11,Fundulidae,L. parva,82,10,10
TR,2020-09-11,Cichlidae,O. aureus,82,9,1
TR,2020-09-11,Poeciliidae,P. latipinna,82,45,38
TR,2020-11-04,Cyprinodontidae,C. variegatus,464,375,375
TR,2020-11-04,Fundulidae,F. grandis,464,7,7
TR,2020-11-04,Poeciliidae,G. affinis,464,80,69
TR,2020-11-04,Cichlidae,O. aureus,464,2,2
TR,2020-11-04,Poeciliidae,P. latipinna,464,80,11
WM,2017-09-30,Ictaluridae,A. natalis,28,4,2
WM,2017-09-30,Leuciscidae,C. lutrensis,28,3,2
WM,2017-09-30,Ictaluridae,I. punctatus,28,4,2
WM,2017-09-30,Centrarchidae,L. auritus,28,21,2
WM,2017-09-30,Centrarchidae,L. cyanellus,28,21,3
WM,2017-09-30,Centrarchidae,L. macrochirus,28,21,1
WM,2017-09-30,Centrarchidae,L. megalotis,28,21,15
WM,2017-09-30,Leuciscidae,P. vigilax,28,3,1
WM,2017-11-03,Leuciscidae,C. venusta,42,2,1
WM,2017-11-03,Poeciliidae,G. affinis,42,21,21
WM,2017-11-03,Centrarchidae,L. gulosus,42,17,1
WM,2017-11-03,Centrarchidae,L. macrochirus,42,17,1
WM,2017-11-03,Centrarchidae,L. megalotis,42,17,11
WM,2017-11-03,Centrarchidae,L. microlophus,42,17,2
WM,2017-11-03,Centrarchidae,L. miniatus,42,17,2
WM,2017-11-03,Lepisosteidae,L. oculatus,42,2,2
WM,2017-11-03,Leuciscidae,N. texanus,42,2,1
WM,2017-12-02,Ictaluridae,A. natalis,96,3,1
WM,2017-12-02,Aphredoderidae,A. sayanus,96,1,1
WM,2017-12-02,Leuciscidae,C. lutrensis,96,28,21
WM,2017-12-02,Leuciscidae,C. venusta,96,28,5
WM,2017-12-02,Poeciliidae,G. affinis,96,27,27
WM,2017-12-02,Ictaluridae,I. punctatus,96,3,1
WM,2017-12-02,Centrarchidae,L. cyanellus,96,36,5
WM,2017-12-02,Centrarchidae,L. gulosus,96,36,3
WM,2017-12-02,Centrarchidae,L. humilis,96,36,1
WM,2017-12-02,Centrarchidae,L. macrochirus,96,36,4
WM,2017-12-02,Centrarchidae,L. megalotis,96,36,22
WM,2017-12-02,Lepisosteidae,L. oculatus,96,1,1
WM,2017-12-02,Centrarchidae,M. salmoides,96,36,1
WM,2017-12-02,Ictaluridae,N. gyrinus,96,3,1
WM,2017-12-02,Leuciscidae,N. texanus,96,28,1
WM,2017-12-02,Leuciscidae,P. vigilax,96,28,1
WM,2018-02-09,Pecidae,E. gracile,29,1,1
WM,2018-02-09,Poeciliidae,G. affinis,29,12,12
WM,2018-02-09,Ictaluridae,I. punctatus,29,1,1
WM,2018-02-09,Centrarchidae,L. cyanellus,29,12,2
WM,2018-02-09,Centrarchidae,L. gulosus,29,12,2
WM,2018-02-09,Centrarchidae,L. humilis,29,12,1
WM,2018-02-09,Centrarchidae,L. macrochirus,29,12,1
WM,2018-02-09,Centrarchidae,L. megalotis,29,12,6
WM,2018-02-09,Lepisosteidae,L. oculatus,29,1,1
WM,2018-02-09,Leuciscidae,N. texanus,29,2,1
WM,2018-02-09,Leuciscidae,P. vigilax,29,2,1
WM,2018-03-02,Leuciscidae,C. lutrensis,52,3,1
WM,2018-03-02,Pecidae,E. gracile,52,1,1
WM,2018-03-02,Poeciliidae,G. affinis,52,21,21
WM,2018-03-02,Ictaluridae,I. punctatus,52,1,1
WM,2018-03-02,Centrarchidae,L. cyanellus,52,25,4
WM,2018-03-02,Centrarchidae,L. gulosus,52,25,3
WM,2018-03-02,Centrarchidae,L. macrochirus,52,25,4
WM,2018-03-02,Centrarchidae,L. megalotis,52,25,12
WM,2018-03-02,Centrarchidae,L. microlophus,52,25,1
WM,2018-03-02,Lepisosteidae,L. oculatus,52,1,1
WM,2018-03-02,Centrarchidae,P. annularis,52,25,1
WM,2018-03-02,Leuciscidae,P. vigilax,52,3,2
WM,2018-03-31,Leuciscidae,C. lutrensis,13,4,1
WM,2018-03-31,Leuciscidae,C. venusta,13,4,1
WM,2018-03-31,Pecidae,E. gracile,13,1,1
WM,2018-03-31,Fundulidae,F. chrysotus,13,1,1
WM,2018-03-31,Poeciliidae,G. affinis,13,6,6
WM,2018-03-31,Centrarchidae,L. macrochirus,13,1,1
WM,2018-03-31,Leuciscidae,N. texanus,13,4,1
WM,2018-03-31,Leuciscidae,P. vigilax,13,4,1
WM,2018-05-04,Leuciscidae,C. lutrensis,13,1,1
WM,2018-05-04,Poeciliidae,G. affinis,13,4,4
WM,2018-05-04,Centrarchidae,L. cyanellus,13,7,1
WM,2018-05-04,Centrarchidae,L. gulosus,13,7,1
WM,2018-05-04,Centrarchidae,L. macrochirus,13,7,1
WM,2018-05-04,Centrarchidae,L. megalotis,13,7,4
WM,2018-05-04,Lepisosteidae,L. oculatus,13,1,1
WM,2018-06-04,Ictaluridae,A. natalis,9,1,1
WM,2018-06-04,Aphredoderidae,A. sayanus,9,1,1
WM,2018-06-04,Leuciscidae,C. venusta,9,1,1
WM,2018-06-04,Poeciliidae,G. affinis,9,2,2
WM,2018-06-04,Centrarchidae,L. gulosus,9,3,1
WM,2018-06-04,Centrarchidae,L. megalotis,9,3,2
WM,2018-06-04,Lepisosteidae,L. oculatus,9,1,1
WM,2018-09-01,Ictaluridae,A. melas,18,2,1
WM,2018-09-01,Aphredoderidae,A. sayanus,18,2,2
WM,2018-09-01,Leuciscidae,C. lutrensis,18,2,1
WM,2018-09-01,Poeciliidae,G. affinis,18,2,2
WM,2018-09-01,Ictaluridae,I. punctatus,18,2,1
WM,2018-09-01,Centrarchidae,L. auritus,18,10,1
WM,2018-09-01,Centrarchidae,L. cyanellus,18,10,1
WM,2018-09-01,Centrarchidae,L. gulosus,18,10,1
WM,2018-09-01,Centrarchidae,L. macrochirus,18,10,2
WM,2018-09-01,Centrarchidae,L. megalotis,18,10,4
WM,2018-09-01,Centrarchidae,M. salmoides,18,10,1
WM,2018-09-01,Leuciscidae,N. texanus,18,2,1
WM,2020-01-14,Pecidae,E. gracile,35,3,3
WM,2020-01-14,Poeciliidae,G. affinis,35,3,3
WM,2020-01-14,Centrarchidae,L. cyanellus,35,29,6
WM,2020-01-14,Centrarchidae,L. gulosus,35,29,3
WM,2020-01-14,Centrarchidae,L. macrochirus,35,29,3
WM,2020-01-14,Centrarchidae,L. megalotis,35,29,17
WM,2020-05-30,Leuciscidae,C. venusta,26,3,3
WM,2020-05-30,Poeciliidae,G. affinis,26,8,8
WM,2020-05-30,Centrarchidae,L. cyanellus,26,15,3
WM,2020-05-30,Centrarchidae,L. macrochirus,26,15,2
WM,2020-05-30,Centrarchidae,L. megalotis,26,15,9
WM,2020-05-30,Centrarchidae,M. salmoides,26,15,1
WM,2020-09-08,Aphredoderidae,A. sayanus,17,1,1
WM,2020-09-08,Poeciliidae,G. affinis,17,1,1
WM,2020-09-08,Centrarchidae,L. cyanellus,17,15,2
WM,2020-09-08,Centrarchidae,L. gulosus,17,15,3
WM,2020-09-08,Centrarchidae,L. macrochirus,17,15,3
WM,2020-09-08,Centrarchidae,L. megalotis,17,15,6
WM,2020-09-08,Centrarchidae,M. salmoides,17,15,1
WM,2020-11-05,Aphredoderidae,A. sayanus,31,1,1
WM,2020-11-05,Leuciscidae,C. venusta,31,1,1
WM,2020-11-05,Poeciliidae,G. affinis,31,4,4
