site_code,collection_date,RR_ctrdist,LRR_ctrdist
AR,2017-09-16,10.62666386034792,2.363366301171177
AR,2017-11-01,4.29434810612728,1.4572997642022583
PD,2017-11-01,0.540188123675312,-0.6158378229165518
AR,2017-12-07,3.697204521934793,1.3075769994778428
AR,2018-02-03,7.371099011572727,1.9975668147004013
PD,2018-02-03,2.6214108324744334,0.9637126585188844
AR,2018-04-07,7.668164471947352,2.037077274085783
SF,2018-04-07,-0.33236178185791027,-1.1015311989712098
TR,2018-04-07,0.17134911157902954,-1.7640522155070029
AR,2018-05-12,16.028622380106075,2.774376022822727
SF,2018-05-12,0.2934180658256534,-1.2261568411209611
AR,2018-06-08,3.715989302548873,1.3126449421931086
PD,2018-06-08,2.0218599765851084,0.7040178682424818
AR,2018-07-01,35.67318855958222,3.574399385888244
SF,2018-07-01,-0.05807407184594237,-2.8460359824431776
TR,2018-07-01,-0.644512697546883,-0.4392607554053698
AR,2018-09-11,22.384506677261687,3.108369053355902
EM,2017-10-10,0.03636247658197796,-3.314217899176756
PL,2017-10-10,-0.6418789222919397,-0.443355587639208
EM,2017-11-03,-0.41742201298839066,-0.8736575473770177
WM,2017-11-03,2.4750513032561763,0.9062611243941735
EM,2018-03-09,1.2472529035971955,0.2209434557556549
EM,2018-03-31,4.1465488992764445,1.4222763977435877
WM,2018-03-31,1.9222267966632591,0.6534843039316957
EM,2018-05-04,1.2860033106778361,0.2515392002116754
GC,2018-05-04,-0.5135171274839277,-0.6664718957706894
WM,2018-05-04,1.4361550773494258,0.36196945737841885
EM,2018-06-04,0.6772273801611158,-0.38974819811532857
WM,2018-06-04,1.6641122377499085,0.5092917906951878
EM,2018-07-05,1.8670609025729992,0.6243654845808405
GC,2018-07-05,-0.8402943541047918,-0.1740030269747471
MR,2017-10-31,0.5557964705303869,-0.5873531119450897
PL,2017-11-11,-0.12779252499369934,-2.057347228626459
GC,2017-12-03,0.7757045097048056,-0.2539836177793725
PL,2017-12-03,-0.1382544347977088,-1.9786595609914082
GC,2018-02-11,-0.21726313500538388,-1.5266460563403108
PL,2018-02-11,0.038086761657116025,-3.267888520296581
PL,2018-03-02,0.0020789698094854548,-6.175882791863719
WM,2018-03-02,0.6496029982326809,-0.43139387463934603
MR,2018-04-01,1.9980481650125461,0.692170786548688
PL,2018-04-01,-0.8526364017987189,-0.15942208051350334
PD,2018-05-10,3.8232717011213513,1.34110652232267
PL,2018-05-10,-0.7822973241046912,-0.24552040084572987
PL,2018-06-07,-0.642290286659299,-0.44271491758021175
GC,2018-07-27,-0.6554465440796914,-0.42243852894403927
MR,2018-07-27,23.59550869120239,3.161056384225563
PL,2018-07-27,0.9292395773471764,-0.07338868606657298
PL,2018-09-25,-0.5326977500467714,-0.6298010887460245
SF,2017-11-05,0.26602072276137456,-1.3241810681169346
TR,2017-11-05,-0.517593252115908,-0.6585655727507748
SF,2017-12-11,1.4847968406956626,0.39527795528329956
TR,2017-12-11,0.0509121658134201,-2.977653369968847
SF,2018-06-01,-0.6015747414594975,-0.5082044928338156
TR,2018-06-01,0.01769765728480229,-4.034323004953118
SF,2018-09-18,1.339608555648812,0.292377448636547
WM,2017-09-30,-0.7478275090257582,-0.2905829305073388
EM,2017-12-02,-0.47617606775249505,-0.7419676029069118
WM,2017-12-02,0.4120666265961492,-0.8865702276678811
EM,2018-09-01,0.4198448088513422,-0.8678701387225792
WM,2018-09-01,-0.5458191640870949,-0.6054675594021849
EM,2018-02-09,2.9866672562353664,1.0941581357189443
WM,2018-02-09,0.8769614610906681,-0.13129223159984468
GC,2017-10-03,11.842120934006475,2.4716627463532066
GC,2017-11-04,2.7185110581278877,1.0000843253269933
GC,2018-03-30,0.17355183431154086,-1.7512789673753086
PD,2018-03-30,1.5351669777263914,0.42863915540079456
GC,2018-06-06,-0.5708974306764227,-0.5605457165012542
MR,2018-06-06,4.353212846584356,1.4709141579022982
GC,2018-11-15,1.8763395522034054,0.6293228321821044
MR,2017-09-26,13.908937271441399,2.6325316026889767
MR,2017-12-05,0.7799211465127053,-0.24856245862334456
MR,2018-02-05,1.4851895506804966,0.3955424076648074
MR,2018-03-05,2.042340395039522,0.7140964027352642
PD,2018-03-05,-0.46884730184626733,-0.7574781459666605
PD,2017-12-04,0.6987277767064136,-0.3584940593743561
AR,2018-08-01,11.195533999621164,2.4155149487452894
PD,2018-08-01,-0.6209985069760916,-0.4764266012768438
PD,2018-08-31,-0.14314913835947246,-1.9438682666005749
TR,2018-08-31,0.043811099253828416,-3.1278680860803716
SF,2017-09-19,1.5575580327855196,0.4431192312007485
SF,2018-02-02,0.27310834074748397,-1.2978867099674387
TR,2018-02-02,0.3850686030605193,-0.9543337708006812
PD,2017-10-04,-0.627892238603291,-0.46538672181871965
TR,2017-09-25,-0.13941655734449035,-1.9702890119235585
