site_code,collection_date,lowest_taxon,L_mu_spe,L_me_spe,L_sd_spe,L_n_spe,family,L_mu_fam,L_me_fam,L_sd_fam,L_n_fam,L_mu_com,L_me_com,L_sd_com,L_n_com
AR,2018-05-12,L. macrochirus,60.704,58.88,14.191902534487303,32,Centrarchidae,74.74521495327103,67.21000000000001,30.9442625922462,107,69.15675862068966,61.44,29.50477295481093,145
AR,2018-05-12,L. megalotis,79.0354647887324,73.414,31.908209139803766,71,Centrarchidae,74.74521495327103,67.21000000000001,30.9442625922462,107,69.15675862068966,61.44,29.50477295481093,145
AR,2018-05-12,M. salmoides,104.96000000000001,104.96000000000001,97.75044143122834,2,Centrarchidae,74.74521495327103,67.21000000000001,30.9442625922462,107,69.15675862068966,61.44,29.50477295481093,145
AR,2018-06-08,A. melas,31,31,NA,1,Ictaluridae,33.626,33.626,3.7137248147917443,2,63.589575,48.363,65.08124559402849,80
AR,2018-06-08,A. natalis,36.251999999999995,36.251999999999995,NA,1,Ictaluridae,33.626,33.626,3.7137248147917443,2,63.589575,48.363,65.08124559402849,80
AR,2018-06-08,C. lutrensis,48.680888888888894,45.592000000000006,7.7197507156067635,9,Leuciscidae,48.680888888888894,45.592000000000006,7.7197507156067635,9,63.589575,48.363,65.08124559402849,80
AR,2018-06-08,G. affinis,35.666666666666664,34,8.965542503437948,15,Poeciliidae,35.666666666666664,34,8.965542503437948,15,63.589575,48.363,65.08124559402849,80
AR,2018-06-08,H. cyanoguttatum,350,350,NA,1,Cichlidae,350,350,NA,1,63.589575,48.363,65.08124559402849,80
AR,2018-06-08,L. gulosus,89,89,NA,1,Centrarchidae,61.015115384615385,57.387,21.30511736893445,52,63.589575,48.363,65.08124559402849,80
AR,2018-06-08,L. macrochirus,55.90109090909091,47.616,21.643238352249746,22,Centrarchidae,61.015115384615385,57.387,21.30511736893445,52,63.589575,48.363,65.08124559402849,80
AR,2018-06-08,L. megalotis,63.92972413793103,61.006,20.448022668806864,29,Centrarchidae,61.015115384615385,57.387,21.30511736893445,52,63.589575,48.363,65.08124559402849,80
AR,2018-06-08,L. oculatus,524,524,NA,1,Lepisosteidae,524,524,NA,1,63.589575,48.363,65.08124559402849,80
AR,2018-07-01,C. lutrensis,57.824000000000005,57.824000000000005,NA,1,Leuciscidae,46.65466666666667,42.18000000000001,9.73640618161205,3,47.91328571428571,39.980000000000004,33.67243812065012,14
AR,2018-07-01,G. affinis,36.125,35,8.838834764831844,8,Poeciliidae,36.125,35,8.838834764831844,8,47.91328571428571,39.980000000000004,33.67243812065012,14
AR,2018-07-01,I. punctatus,160.13600000000002,160.13600000000002,NA,1,Ictaluridae,160.13600000000002,160.13600000000002,NA,1,47.91328571428571,39.980000000000004,33.67243812065012,14
AR,2018-07-01,L. megalotis,40.842999999999996,40.842999999999996,13.891819823190911,2,Centrarchidae,40.842999999999996,40.842999999999996,13.891819823190911,2,47.91328571428571,39.980000000000004,33.67243812065012,14
AR,2018-07-01,N. texanus,41.07000000000001,41.07000000000001,1.5697770542341398,2,Leuciscidae,46.65466666666667,42.18000000000001,9.73640618161205,3,47.91328571428571,39.980000000000004,33.67243812065012,14
AR,2018-08-01,L. cyanellus,148.764,148.764,NA,1,Centrarchidae,107.2028,84,55.80866630909576,5,107.2028,84,55.80866630909576,5
AR,2018-08-01,L. gulosus,84,84,NA,1,Centrarchidae,107.2028,84,55.80866630909576,5,107.2028,84,55.80866630909576,5
AR,2018-08-01,L. megalotis,60.489,60.489,13.891819823190913,2,Centrarchidae,107.2028,84,55.80866630909576,5,107.2028,84,55.80866630909576,5
AR,2018-08-01,M. salmoides,182.272,182.272,NA,1,Centrarchidae,107.2028,84,55.80866630909576,5,107.2028,84,55.80866630909576,5
AR,2018-09-11,A. natalis,102.71399999999998,102.71399999999998,NA,1,Ictaluridae,97.37493333333333,91.97,27.344099753920972,15,68.76234013605442,55.296,73.85841553051375,147
AR,2018-09-11,C. lutrensis,35.74285714285715,35.028000000000006,6.684208610393062,14,Leuciscidae,35.74285714285715,35.028000000000006,6.684208610393062,14,68.76234013605442,55.296,73.85841553051375,147
AR,2018-09-11,G. affinis,31.5,31.5,3.5355339059327378,2,Poeciliidae,31.5,31.5,3.5355339059327378,2,68.76234013605442,55.296,73.85841553051375,147
